date,title,source,media_name,ideology,Congress
07/06/2019,Biden And The Hyde Amendment; Big Tech Censors Conspiracy Theorists; Mexico Scrambling To Reduce Illegal Immigration; America's Immigration Process Is Flawed; Series Of Strange Deaths And Outbreaks Of Violence In The Dominican Republic And Hurting American Tourists; Liberal Media Denies They Are Anti-Trump.,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden And The Hyde Amendment; Big Tech Censors Conspiracy Theorists; Mexico Scrambling To Reduce Ill.docx,Fox News,right,116th
24/03/2021,"Biden Failing To Deliver On ""Unity"" Promise; Migrant Child Facility Overcrowded Amid Surge; WAPO Pushes Anti-racism Programs For Toddlers; Professor Reilly: America Is Not Racist; President Biden Assigns Her V.P. Kamala Harris To Take Charge Of The Crisis At The Southern Border; The White House Issued A New Directive That Instead Of Addressing The Biden Administration, They Will Be Addressing All Communications As The Biden- Harris Administration; Gov. Jim Justice (R-WV) Is Interviewed About His Proposal To Repeal Personal Income Tax In His State; Houston Rockets Owner Tilman Fertitta Says He's Having Difficulty Getting Back His Employees Because Of The Stimulus Package That People Are Getting Now",C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Failing To Deliver On _Unity_ Promise; Migrant Child Facility Overcrowded Amid Surge; WAPO Pus.docx,Fox News,right,117th
13/05/2021,"Biden Flounders in the Face of Multiple Crises; Israel, Gaza Militants Trade Fire As Tensions Escalate; Interview with Sen. Tom Cotton (R-AR); Vaccinated American Can Go Most Places Without a Mask, CDC Says","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Flounders in the Face of Multiple Crises; Israel , Gaza Militants Trade Fire As Tensions Escal.docx",Fox News,right,117th
24/03/2021,"Biden Holds Border Meeting, Blames Trump For Surge; Biden Doesn't Answer Questions About Border Visit; Report: Co-Shooting Suspect Prone To Rage, Delusions; Biden Weighs Executive Action On Gun Control; Biden Calls On Congress To Pass Weapon Ban; Teachers Union Not Convinced By CDC Guidelines; US Border Crisis; Meghan & Harry Caught In Royal Lie","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Holds Border Meeting, Blames Trump For Surge; Biden Doesn't Answer Questions About Border Visi.docx",Fox News,right,117th
29/07/2021,Biden meets with top Democrats on voting rights as senators ready a scaled-back proposal.,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden meets with top Democrats on voting rights as senators ready a scaled-back proposal.docx,The New York Times,left,117th
09/04/2021,Biden Orders Court-Packing Study; Biden Administration Still Deflecting Blame Amid All-Out Crisis at Southern Border; VP Harris Still Absent on Addressing Border Crisis,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Orders Court-Packing Study; Biden Administration Still Deflecting Blame Amid All-Out Crisis at.docx,Fox News,right,117th
13/08/2021,"Biden Planning Unconstitutional Vax Mandates; DHS Laments ""Unsustainable"" Border In Leaded Audio; Left Forgets They Don't Like Justice Barrett; Actors Discuss Their Hygiene and Cleaning Habits; Arnold Schwarzenegger Criticizes Anti-Vaccine Sentiment",C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Planning Unconstitutional Vax Mandates; DHS Laments _Unsustainable_ Border In Leaded Audio; Le.docx,Fox News,right,117th
14/07/2021,Biden Portrays A Right to Vote As Under Siege,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Portrays A Right to Vote As Under Siege.docx,The New York Times,left,117th
14/10/2020,"Biden pushes for votes in Ariz., Texas, Ga.; Activists fight alleged voter suppression tactics","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden pushes for votes in Ariz. , Texas , Ga. Activists fight alleged voter suppression tactics.docx",USA Today,left,116th
18/05/2021,Biden Races Away From Confronting Crises; Interview With Rep. Jim Jordan (R-OH) And Senator Ron Johnson (R-WI); Interview With Sen. Lindsey Graham (R-SC),C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/Biden Races Away From Confronting Crises; Interview With Rep. Jim Jordan (R- OH ) And Senator Ron Jo.docx,Fox News,right,117th
